"","player","salary","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"323","Patrick Mills",3578947,"PG",73,185,14,47,104,1,2,27,34,18,2,17,16,118,"SAS"
"324","Patrick Patterson",6268675,"PF",81,235,15,32,85,2,2,55,14,10,3,17,18,83,"TOR"
"325","Pau Gasol",7448760,"C",85,250,13,75,169,28,36,130,27,10,25,17,22,178,"CHI"
"326","Paul George",17120106,"PF",81,220,14,120,262,81,96,118,67,23,2,50,38,363,"IND"
"327","Paul Millsap",1.9e+07,"PF",80,246,16,102,209,71,91,149,58,33,18,42,44,293,"ATL"
"328","Paul Pierce",3400000,"SF",79,235,13,21,64,15,18,47,18,8,0,10,21,68,"LAC"
"329","Phil Pressey",902698,"PG",71,175,9,15,33,5,9,13,31,5,0,11,7,39,"PHI"
"330","Quincy Acy",981348,"PF",79,240,7,4,7,2,4,10,5,2,2,3,6,11,"SAC"
"331","R.J. Hunter",1148640,"SG",77,185,9,14,31,0,0,14,3,6,1,5,14,34,"BOS"
"332","Rajon Rondo",9500000,"PG",73,186,15,85,190,8,22,114,162,32,1,60,36,191,"SAC"
"333","Ramon Sessions",2170465,"PG",75,190,11,29,62,35,47,23,34,13,1,15,19,100,"WAS"
"334","Randy Foye",3270000,"SG",76,213,15,25,87,7,9,22,22,6,2,14,19,67,"DEN"
"335","Rashad Vaughn",1733040,"SG",78,202,9,11,25,2,2,6,1,1,2,5,3,30,"MIL"
"336","Rasual Butler",1499187,"SF",79,215,13,13,33,3,4,17,10,6,7,4,1,33,"SAS"
"337","Raul Neto",1e+06,"PG",73,179,13,21,62,3,5,16,29,13,1,14,22,54,"UTA"
"338","Ray McCallum",947276,"PG",75,190,9,5,9,0,0,6,1,2,0,3,3,10,"SAS"
"339","Raymond Felton",3950313,"PG",73,205,15,48,119,23,26,37,33,9,1,22,33,129,"DAL"
"340","Reggie Bullock",1252440,"SF",79,205,9,1,17,1,1,6,1,1,0,2,4,4,"DET"
"341","Reggie Jackson",1.4e+07,"PG",75,208,14,100,234,53,63,59,83,14,2,54,24,272,"DET"
"342","Richard Jefferson",1499000,"SF",79,233,14,39,84,12,19,19,15,8,3,15,35,105,"CLE"
"343","Richaun Holmes",1050000,"PF",82,245,7,13,26,9,15,16,4,1,6,3,11,36,"PHI"
"344","Ricky Rubio",12365000,"PG",76,194,10,35,96,40,47,49,87,18,1,23,33,113,"MIN"
"345","Robert Covington",1e+06,"SF",81,215,6,20,62,21,24,27,7,11,4,19,22,67,"PHI"
"346","Robert Sacre",981348,"C",85,270,1,1,3,0,0,2,0,0,0,1,0,2,"LAL"
"347","Robin Lopez",1.3e+07,"C",85,255,15,50,111,23,26,93,28,5,17,32,40,123,"NYK"
"348","Rodney Hood",1348440,"SG",80,206,12,58,135,23,27,27,35,16,4,22,42,155,"UTA"
"349","Rodney Stuckey",6500000,"PG",77,205,9,34,78,13,18,26,23,7,3,13,11,83,"IND"
"350","Rondae Hollis-Jefferson",1335480,"SF",79,220,14,28,57,13,23,79,23,22,6,19,28,70,"BRK"
"351","Ronnie Price",1499187,"PG",74,190,12,16,37,6,7,10,18,11,2,10,21,48,"PHO"
"352","Roy Hibbert",15500000,"C",86,270,14,35,74,50,57,95,23,5,32,23,44,120,"LAL"
"353","Rudy Gay",12403101,"SF",80,230,13,98,213,29,37,91,32,15,2,28,37,237,"SAC"
"354","Rudy Gobert",1175880,"C",85,245,11,36,67,25,40,116,19,9,30,28,33,97,"UTA"
"355","Russ Smith",845059,"PG",73,165,8,4,14,6,9,4,2,2,0,4,3,15,"MEM"
"356","Russell Westbrook",16744218,"PG",75,200,15,145,311,105,127,113,152,36,6,75,35,422,"OKC"
"357","Ryan Anderson",8500000,"PF",82,240,14,102,212,33,39,98,15,7,6,24,20,270,"NOP"
"358","Ryan Kelly",1724250,"PF",83,230,6,8,22,4,6,21,6,3,5,4,5,21,"LAL"
"359","Salah Mejri",525093,"C",85,245,4,0,1,0,0,5,0,1,2,1,1,0,"DAL"
"360","Sam Dekker",1646400,"SF",81,230,3,0,0,0,0,1,0,1,0,0,0,0,"HOU"
"361","Sasha Kaun",1300000,"C",83,260,4,0,0,0,0,2,1,1,1,1,4,0,"CLE"
"362","Sasha Vujacic",1356146,"SG",79,195,12,18,63,2,3,36,18,8,1,11,14,43,"NYK"
"363","Serge Ibaka",12250000,"PF",82,245,15,87,189,12,20,112,17,5,37,23,44,194,"OKC"
"364","Sergey Karasev",1599840,"SF",79,208,5,2,6,4,4,4,1,1,0,2,3,9,"BRK"
"365","Seth Curry",947276,"PG",74,185,6,8,13,0,0,1,6,0,0,0,1,20,"SAC"
"366","Shabazz Muhammad",2056920,"SG",78,223,14,42,85,21,27,34,5,1,1,13,21,109,"MIN"
"367","Shabazz Napier",1294440,"PG",73,175,13,24,59,10,14,14,27,7,1,14,12,68,"ORL"
"368","Shane Larkin",1500000,"PG",71,175,14,40,82,6,9,29,42,18,2,22,21,97,"BRK"
"369","Shaun Livingston",5543725,"PG",79,182,14,30,60,8,9,27,31,7,3,13,27,68,"GSW"
"370","Shayne Whittington",845059,"PF",83,250,1,0,0,0,0,0,0,0,0,2,1,0,"IND"
